algorithm,constructionTime,executionTime,weightMST
Prim Nomal,0.083900,0.012800,12765
Kruskal Normal,0.091400,0.005300,12765
Prim Geometric,0.070500,0.012900,9005
Kruskal Geometric,0.077600,0.005000,9005
Prim Nomal,0.064800,0.012800,11894
Kruskal Normal,0.072300,0.005300,11894
Prim Geometric,0.066800,0.013500,10749
Kruskal Geometric,0.085600,0.005400,10749
Prim Nomal,0.073700,0.013000,13619
Kruskal Normal,0.081200,0.005400,13619
Prim Geometric,0.070700,0.012800,9179
Kruskal Geometric,0.077900,0.005000,9179
Prim Nomal,0.065000,0.012900,12667
Kruskal Normal,0.072000,0.005300,12667
Prim Geometric,0.078600,0.012400,9961
Kruskal Geometric,0.086000,0.005500,9961
Prim Nomal,0.222000,0.013200,12135
Kruskal Normal,0.231400,0.005200,12135
Prim Geometric,0.070600,0.013300,9613
Kruskal Geometric,0.078200,0.005700,9613
Prim Nomal,0.087500,0.013200,12982
Kruskal Normal,0.095400,0.005400,12982
Prim Geometric,0.328600,0.012400,9121
Kruskal Geometric,0.337800,0.005300,9121
Prim Nomal,0.103700,0.029200,12202
Kruskal Normal,0.113000,0.005900,12202
Prim Geometric,0.068200,0.012600,9579
Kruskal Geometric,0.075100,0.005300,9579
Prim Nomal,0.069300,0.013300,10853
Kruskal Normal,0.077000,0.005200,10853
Prim Geometric,0.069100,0.013100,8301
Kruskal Geometric,0.076400,0.005300,8301
Prim Nomal,0.068300,0.013100,12019
Kruskal Normal,0.075900,0.005500,12019
Prim Geometric,0.098000,0.012800,9417
Kruskal Geometric,0.106200,0.016700,9417
Prim Nomal,0.192200,0.013700,12864
Kruskal Normal,0.212700,0.005600,12864
Prim Geometric,0.080300,0.012500,9344
Kruskal Geometric,0.087700,0.005400,9344
Prim Nomal,0.096000,0.984200,1467
Kruskal Normal,0.143000,0.053100,1467
Prim Geometric,0.098800,0.074800,2659
Kruskal Geometric,0.133700,0.106600,2659
Prim Nomal,0.099000,0.066100,1377
Kruskal Normal,0.123400,0.049600,1377
Prim Geometric,0.116700,0.074800,2687
Kruskal Geometric,0.141500,0.052800,2687
Prim Nomal,0.098500,0.069000,1658
Kruskal Normal,0.123000,0.050100,1658
Prim Geometric,0.192600,0.072000,2651
Kruskal Geometric,0.217300,0.053100,2651
Prim Nomal,0.100200,0.068800,1557
Kruskal Normal,0.124700,0.073000,1557
Prim Geometric,0.099900,0.074800,2436
Kruskal Geometric,0.126000,0.049600,2436
Prim Nomal,0.137300,0.068100,1442
Kruskal Normal,0.165200,0.049700,1442
Prim Geometric,0.104200,0.076100,2484
Kruskal Geometric,0.128100,0.053200,2484
Prim Nomal,0.155700,0.070400,1570
Kruskal Normal,0.181300,0.050400,1570
Prim Geometric,0.091900,0.071700,2585
Kruskal Geometric,0.114900,0.049400,2585
Prim Nomal,0.111100,0.069300,1335
Kruskal Normal,0.151000,0.051300,1335
Prim Geometric,0.094700,0.071900,2578
Kruskal Geometric,0.118200,0.051500,2578
Prim Nomal,0.101400,0.119400,1455
Kruskal Normal,1.686200,0.073700,1455
Prim Geometric,0.158000,0.074200,2482
Kruskal Geometric,0.291600,0.049600,2482
Prim Nomal,0.107800,0.067100,1058
Kruskal Normal,0.134200,0.049100,1058
Prim Geometric,0.093000,0.074500,2545
Kruskal Geometric,0.115800,0.047400,2545
Prim Nomal,0.116000,0.064700,1490
Kruskal Normal,0.141700,0.049700,1490
Prim Geometric,0.107300,0.077600,2597
Kruskal Geometric,0.131900,0.050300,2597
Prim Nomal,0.159000,0.099900,816
Kruskal Normal,0.194900,0.095100,816
Prim Geometric,0.124900,0.131400,1713
Kruskal Geometric,0.181500,0.092100,1713
Prim Nomal,0.131100,0.101700,787
Kruskal Normal,0.198600,0.098300,787
Prim Geometric,0.167900,0.107700,1852
Kruskal Geometric,0.238000,0.091200,1852
Prim Nomal,0.157400,0.099700,844
Kruskal Normal,0.205800,0.094100,844
Prim Geometric,0.164900,0.110300,1670
Kruskal Geometric,0.215300,0.090800,1670
Prim Nomal,0.131700,0.269200,735
Kruskal Normal,0.239100,0.097000,735
Prim Geometric,0.150000,0.102300,1755
Kruskal Geometric,0.198600,0.087900,1755
Prim Nomal,0.147900,0.101300,550
Kruskal Normal,0.198200,0.093800,550
Prim Geometric,0.161400,0.124700,1868
Kruskal Geometric,0.238100,0.089500,1868
Prim Nomal,0.334000,0.100600,849
Kruskal Normal,0.371200,0.093200,849
Prim Geometric,0.148800,0.107300,1776
Kruskal Geometric,0.218600,0.091900,1776
Prim Nomal,0.141900,0.101600,782
Kruskal Normal,0.214300,0.095800,782
Prim Geometric,0.142400,0.157500,1776
Kruskal Geometric,0.207700,0.190400,1776
Prim Nomal,0.168100,0.196000,709
Kruskal Normal,0.235600,0.095200,709
Prim Geometric,0.190900,0.112200,1765
Kruskal Geometric,0.253400,0.091600,1765
Prim Nomal,0.144800,0.100900,863
Kruskal Normal,0.219200,0.094900,863
Prim Geometric,0.122100,0.114100,1805
Kruskal Geometric,0.174000,0.089500,1805
Prim Nomal,0.586800,0.109600,668
Kruskal Normal,0.933800,0.108400,668
Prim Geometric,0.122800,0.116200,1724
Kruskal Geometric,0.183600,0.091600,1724
Prim Nomal,0.181200,0.110400,489
Kruskal Normal,0.253000,0.189600,489
Prim Geometric,0.217700,0.170200,1453
Kruskal Geometric,0.283100,0.131900,1453
Prim Nomal,0.198900,0.109500,569
Kruskal Normal,0.271100,0.149300,569
Prim Geometric,0.142100,0.138800,1369
Kruskal Geometric,0.300200,0.134000,1369
Prim Nomal,0.156100,0.108500,468
Kruskal Normal,0.232000,0.138900,468
Prim Geometric,0.127300,0.148100,1439
Kruskal Geometric,0.202700,0.133300,1439
Prim Nomal,0.143300,0.123600,598
Kruskal Normal,0.209700,0.143200,598
Prim Geometric,0.160700,0.158000,1468
Kruskal Geometric,0.227400,0.128200,1468
Prim Nomal,0.173500,0.108100,523
Kruskal Normal,0.242100,0.134600,523
Prim Geometric,0.146400,0.152200,1618
Kruskal Geometric,0.471800,0.131800,1618
Prim Nomal,0.176000,0.114200,605
Kruskal Normal,0.253800,0.140600,605
Prim Geometric,0.136000,0.145100,1335
Kruskal Geometric,0.208300,0.131300,1335
Prim Nomal,0.146200,0.114600,563
Kruskal Normal,2.697700,0.140500,563
Prim Geometric,0.124300,0.127600,1557
Kruskal Geometric,0.192600,0.130700,1557
Prim Nomal,0.170300,0.111100,496
Kruskal Normal,0.237100,0.135400,496
Prim Geometric,0.139900,0.142900,1525
Kruskal Geometric,0.211700,0.127600,1525
Prim Nomal,0.234800,0.113700,598
Kruskal Normal,0.359300,0.174000,598
Prim Geometric,0.171200,0.159600,1433
Kruskal Geometric,0.243800,0.127200,1433
Prim Nomal,0.315200,0.113000,595
Kruskal Normal,0.403400,0.138100,595
Prim Geometric,0.200300,0.249400,1572
Kruskal Geometric,0.298700,0.130600,1572
Prim Nomal,0.152100,0.096900,469
Kruskal Normal,0.208800,0.183700,469
Prim Geometric,0.125900,0.140900,1391
Kruskal Geometric,0.494500,0.182000,1391
Prim Nomal,0.161200,0.095400,391
Kruskal Normal,0.226700,0.182100,391
Prim Geometric,0.158200,0.173800,1339
Kruskal Geometric,0.230900,0.172300,1339
Prim Nomal,0.165300,0.095400,502
Kruskal Normal,0.227300,0.188500,502
Prim Geometric,0.122100,0.462600,1268
Kruskal Geometric,0.179100,0.264900,1268
Prim Nomal,0.156600,0.098400,486
Kruskal Normal,0.226800,0.210400,486
