TipoGrafo,Vertices,DensidadePercentual,Repeticao,Algoritmo,TempoMilissegundos,PesoTotalMST
Normal,100,0,1,Kruskal,0.0403,5130.44
Normal,100,0,1,Prim,0.0095,5130.44
Normal,100,0,2,Kruskal,0.0093,4837.27
Normal,100,0,2,Prim,0.0085,4837.27
Normal,100,0,3,Kruskal,0.0085,5535.73
Normal,100,0,3,Prim,0.0081,5535.73
Normal,100,0,4,Kruskal,0.0083,5202.85
Normal,100,0,4,Prim,0.0077,5202.85
Normal,100,0,5,Kruskal,0.021,5063.2
Normal,100,0,5,Prim,0.0069,5063.2
Normal,100,0,6,Kruskal,0.008,5178.8
Normal,100,0,6,Prim,0.0081,5178.8
Normal,100,0,7,Kruskal,0.0077,5194
Normal,100,0,7,Prim,0.009,5194
Normal,100,0,8,Kruskal,0.0084,4672.75
Normal,100,0,8,Prim,0.0093,4672.75
Normal,100,0,9,Kruskal,0.0084,5322.05
Normal,100,0,9,Prim,0.0087,5322.05
Normal,100,0,10,Kruskal,0.0089,5290.01
Normal,100,0,10,Prim,0.0062,5290.01
Normal,100,20,1,Kruskal,0.059,604.298
Normal,100,20,1,Prim,0.0436,604.298
Normal,100,20,2,Kruskal,0.059,716.369
Normal,100,20,2,Prim,0.0404,716.369
Normal,100,20,3,Kruskal,0.0846,589.674
Normal,100,20,3,Prim,0.0372,589.674
Normal,100,20,4,Kruskal,0.0576,676.45
Normal,100,20,4,Prim,0.0404,676.45
Normal,100,20,5,Kruskal,0.0582,538.374
Normal,100,20,5,Prim,0.0606,538.374
Normal,100,20,6,Kruskal,0.0587,655.812
Normal,100,20,6,Prim,0.0388,655.812
Normal,100,20,7,Kruskal,0.0596,686.3
Normal,100,20,7,Prim,0.1193,686.3
Normal,100,20,8,Kruskal,0.0581,759.364
Normal,100,20,8,Prim,0.0498,759.364
Normal,100,20,9,Kruskal,0.0574,642.895
Normal,100,20,9,Prim,0.0386,642.895
Normal,100,20,10,Kruskal,0.0581,779.494
Normal,100,20,10,Prim,0.0501,779.494
Normal,100,40,1,Kruskal,0.1275,424.296
Normal,100,40,1,Prim,0.0586,424.296
Normal,100,40,2,Kruskal,0.1306,380.961
Normal,100,40,2,Prim,0.0811,380.961
Normal,100,40,3,Kruskal,0.1404,392.39
Normal,100,40,3,Prim,0.3298,392.39
Normal,100,40,4,Kruskal,0.115,389.109
Normal,100,40,4,Prim,1.2269,389.109
Normal,100,40,5,Kruskal,0.1194,412.594
Normal,100,40,5,Prim,0.0666,412.594
Normal,100,40,6,Kruskal,0.1123,369.865
Normal,100,40,6,Prim,0.0663,369.865
Normal,100,40,7,Kruskal,0.2627,397.87
Normal,100,40,7,Prim,0.0684,397.87
Normal,100,40,8,Kruskal,0.1136,421.189
Normal,100,40,8,Prim,0.0842,421.189
Normal,100,40,9,Kruskal,0.1876,349.658
Normal,100,40,9,Prim,0.0838,349.658
Normal,100,40,10,Kruskal,0.1162,380.581
Normal,100,40,10,Prim,0.0739,380.581
Normal,100,60,1,Kruskal,0.2056,272.812
Normal,100,60,1,Prim,0.0957,272.812
Normal,100,60,2,Kruskal,0.169,313.639
Normal,100,60,2,Prim,0.0738,313.639
Normal,100,60,3,Kruskal,0.1714,270.973
Normal,100,60,3,Prim,0.1157,270.973
Normal,100,60,4,Kruskal,0.2202,275.822
Normal,100,60,4,Prim,0.1213,275.822
Normal,100,60,5,Kruskal,0.2023,297.763
Normal,100,60,5,Prim,0.2605,297.763
Normal,100,60,6,Kruskal,0.1762,329.758
Normal,100,60,6,Prim,0.1887,329.758
Normal,100,60,7,Kruskal,0.1687,285.362
Normal,100,60,7,Prim,0.081,285.362
Normal,100,60,8,Kruskal,0.1741,320.516
Normal,100,60,8,Prim,0.072,320.516
Normal,100,60,9,Kruskal,0.1781,302.66
Normal,100,60,9,Prim,0.0834,302.66
Normal,100,60,10,Kruskal,0.1686,272.142
Normal,100,60,10,Prim,0.1233,272.142
Normal,100,80,1,Kruskal,0.2315,261.595
Normal,100,80,1,Prim,0.0808,261.595
Normal,100,80,2,Kruskal,0.227,212.144
Normal,100,80,2,Prim,0.1057,212.144
Normal,100,80,3,Kruskal,0.2707,266.484
Normal,100,80,3,Prim,0.0866,266.484
Normal,100,80,4,Kruskal,0.2283,244.012
Normal,100,80,4,Prim,0.0837,244.012
Normal,100,80,5,Kruskal,0.2434,239.746
Normal,100,80,5,Prim,0.0993,239.746
Normal,100,80,6,Kruskal,0.2654,237.105
Normal,100,80,6,Prim,0.0906,237.105
Normal,100,80,7,Kruskal,0.5848,220.763
Normal,100,80,7,Prim,0.0928,220.763
Normal,100,80,8,Kruskal,0.2772,227.034
Normal,100,80,8,Prim,0.1023,227.034
Normal,100,80,9,Kruskal,0.2446,269.153
Normal,100,80,9,Prim,0.1045,269.153
Normal,100,80,10,Kruskal,0.5137,228.654
Normal,100,80,10,Prim,0.0822,228.654
Normal,100,100,1,Kruskal,0.5262,220.007
Normal,100,100,1,Prim,0.1087,220.007
Normal,100,100,2,Kruskal,0.3187,214.957
Normal,100,100,2,Prim,0.1131,214.957
Normal,100,100,3,Kruskal,0.3218,209.823
Normal,100,100,3,Prim,0.1456,209.823
Normal,100,100,4,Kruskal,0.3207,210.047
Normal,100,100,4,Prim,0.1927,210.047
Normal,100,100,5,Kruskal,0.3287,212.498
Normal,100,100,5,Prim,0.0991,212.498
Normal,100,100,6,Kruskal,0.292,216.342
Normal,100,100,6,Prim,0.1621,216.342
Normal,100,100,7,Kruskal,21.6827,205.723
Normal,100,100,7,Prim,0.0897,205.723
Normal,100,100,8,Kruskal,0.3192,217.188
Normal,100,100,8,Prim,0.087,217.188
Normal,100,100,9,Kruskal,0.2964,212.9
Normal,100,100,9,Prim,0.1621,212.9
Normal,100,100,10,Kruskal,0.3168,209.145
Normal,100,100,10,Prim,0.1038,209.145
Normal,500,0,1,Kruskal,0.0414,24547.6
Normal,500,0,1,Prim,0.6938,24547.6
Normal,500,0,2,Kruskal,0.0461,25466.5
Normal,500,0,2,Prim,0.0374,25466.5
Normal,500,0,3,Kruskal,0.0388,25952.1
Normal,500,0,3,Prim,0.0381,25952.1
Normal,500,0,4,Kruskal,0.0354,24946.5
Normal,500,0,4,Prim,0.0302,24946.5
Normal,500,0,5,Kruskal,0.0397,24409.3
Normal,500,0,5,Prim,0.0335,24409.3
Normal,500,0,6,Kruskal,0.0399,24480.9
Normal,500,0,6,Prim,0.0314,24480.9
Normal,500,0,7,Kruskal,0.0382,24518.2
Normal,500,0,7,Prim,0.0195,24518.2
Normal,500,0,8,Kruskal,0.0402,24165.2
Normal,500,0,8,Prim,0.0457,24165.2
Normal,500,0,9,Kruskal,0.0358,24821.6
Normal,500,0,9,Prim,0.0406,24821.6
Normal,500,0,10,Kruskal,0.0408,24361.1
Normal,500,0,10,Prim,0.0757,24361.1
Normal,500,20,1,Kruskal,2.1669,1077.98
Normal,500,20,1,Prim,0.7112,1077.98
Normal,500,20,2,Kruskal,1.8156,1037.77
Normal,500,20,2,Prim,0.4916,1037.77
Normal,500,20,3,Kruskal,3.9877,1041.49
Normal,500,20,3,Prim,0.4791,1041.49
Normal,500,20,4,Kruskal,1.8599,1134.6
Normal,500,20,4,Prim,0.514,1134.6
Normal,500,20,5,Kruskal,4.9711,1089.6
Normal,500,20,5,Prim,0.4787,1089.6
Normal,500,20,6,Kruskal,1.8269,1109.42
Normal,500,20,6,Prim,0.4674,1109.42
Normal,500,20,7,Kruskal,4.7257,1044.39
Normal,500,20,7,Prim,0.4565,1044.39
Normal,500,20,8,Kruskal,1.943,1074.27
Normal,500,20,8,Prim,0.4864,1074.27
Normal,500,20,9,Kruskal,4.769,1107.59
Normal,500,20,9,Prim,0.4642,1107.59
Normal,500,20,10,Kruskal,2.1605,1099.52
Normal,500,20,10,Prim,0.4759,1099.52
Normal,500,40,1,Kruskal,6.1562,776.947
Normal,500,40,1,Prim,1.0136,776.947
Normal,500,40,2,Kruskal,3.944,810.746
Normal,500,40,2,Prim,2.4063,810.746
Normal,500,40,3,Kruskal,3.9747,786.383
Normal,500,40,3,Prim,1.2137,786.383
Normal,500,40,4,Kruskal,4.3913,794.343
Normal,500,40,4,Prim,0.7619,794.343
Normal,500,40,5,Kruskal,3.8761,792.662
Normal,500,40,5,Prim,0.8007,792.662
Normal,500,40,6,Kruskal,4.1171,804.25
Normal,500,40,6,Prim,2.143,804.25
Normal,500,40,7,Kruskal,3.9832,818.879
Normal,500,40,7,Prim,0.7953,818.879
Normal,500,40,8,Kruskal,4.2509,797.201
Normal,500,40,8,Prim,0.7421,797.201
Normal,500,40,9,Kruskal,3.8969,801.574
Normal,500,40,9,Prim,0.8453,801.574
Normal,500,40,10,Kruskal,4.2812,779.625
Normal,500,40,10,Prim,0.7492,779.625
Normal,500,60,1,Kruskal,6.071,702.529
Normal,500,60,1,Prim,1.2022,702.529
Normal,500,60,2,Kruskal,7.2655,711.659
Normal,500,60,2,Prim,1.1769,711.659
Normal,500,60,3,Kruskal,6.302,702.549
Normal,500,60,3,Prim,1.76,702.549
Normal,500,60,4,Kruskal,7.5968,681.474
Normal,500,60,4,Prim,1.1512,681.474
Normal,500,60,5,Kruskal,8.0295,689.852
Normal,500,60,5,Prim,1.1723,689.852
Normal,500,60,6,Kruskal,6.7741,707.584
Normal,500,60,6,Prim,1.2875,707.584
Normal,500,60,7,Kruskal,7.7844,704.974
Normal,500,60,7,Prim,0.9739,704.974
Normal,500,60,8,Kruskal,7.0812,713.817
Normal,500,60,8,Prim,1.4808,713.817
Normal,500,60,9,Kruskal,7.1624,686.311
Normal,500,60,9,Prim,1.2904,686.311
Normal,500,60,10,Kruskal,10.6018,687.495
Normal,500,60,10,Prim,1.0101,687.495
Normal,500,80,1,Kruskal,9.9903,657.597
Normal,500,80,1,Prim,1.7513,657.597
Normal,500,80,2,Kruskal,9.4811,638.061
Normal,500,80,2,Prim,1.2028,638.061
Normal,500,80,3,Kruskal,9.316,655.12
Normal,500,80,3,Prim,1.2351,655.12
Normal,500,80,4,Kruskal,8.7441,648.815
Normal,500,80,4,Prim,1.2662,648.815
Normal,500,80,5,Kruskal,14.9264,648.309
Normal,500,80,5,Prim,1.2415,648.309
Normal,500,80,6,Kruskal,8.3888,655.36
Normal,500,80,6,Prim,1.2362,655.36
Normal,500,80,7,Kruskal,10.183,638.729
Normal,500,80,7,Prim,1.2404,638.729
Normal,500,80,8,Kruskal,7.9458,650.494
Normal,500,80,8,Prim,1.2468,650.494
Normal,500,80,9,Kruskal,10.2116,635.358
Normal,500,80,9,Prim,1.5561,635.358
Normal,500,80,10,Kruskal,13.9145,647.496
Normal,500,80,10,Prim,1.6354,647.496
